"","X","SeriousDlqin2yrs","RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30.59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60.89DaysPastDueNotWorse","NumberOfDependents","agecat","incomecat"
"98732",102464,0,0.009331688,55,0,0.095798736,8068,15,0,1,0,0,"middle","rich"
"27991",29069,0,0.014179457,46,0,0.493667511,7500,6,0,3,0,0,"middle","middle rich"
"57425",59592,0,0.36933742,52,0,0.562518563,10100,17,0,2,0,2,"middle","rich"
"85620",88860,0,0.9999999,28,0,524,5400,2,0,0,0,0,"young","middle"
"111847",116040,0,0.500813916,45,0,323,5400,3,0,0,0,0,"middle","middle"
"71203",73898,0,0.068354702,64,0,0.012171267,4600,6,0,0,0,0,"middle","middle"
"60030",62313,0,0.772843991,37,2,0.84706447,6250,8,0,2,0,0,"young","middle rich"
"66728",69245,0,0,50,0,0.562833994,5800,11,0,2,0,2,"middle","middle rich"
"52022",54008,0,0.044731842,67,0,0.401368524,5114,5,0,2,0,0,"middle","middle"
"87494",90796,0,0.075175488,64,0,0.105886168,18500,10,0,1,0,1,"middle","rich"
"45780",47526,0,0.065724362,58,0,0.177323181,10900,12,0,2,0,0,"middle","rich"
"138362",143538,0,1.598006645,49,0,0.161693269,4322,2,0,0,2,2,"middle","middle"
"4827",5017,0,0.025965222,77,0,1986,5400,6,0,2,0,0,"elder","middle"
"62172",64528,0,0.001932171,54,0,0.833892993,13400,12,0,6,0,1,"middle","rich"
"34562",35889,0,0.41667772,42,0,0.467435504,15000,10,0,2,0,0,"young","rich"
"109499",113611,0,0.051981472,71,0,0.003230272,6500,1,0,0,0,0,"middle","middle rich"
"22091",22937,0,0.000484317,63,0,0.269331931,1900,11,0,1,0,0,"middle","poor"
"26577",27600,0,0.006046135,61,0,0.455007893,5700,9,0,2,0,2,"middle","middle rich"
"117165",121565,0,0.684299006,71,0,0.591900702,7975,8,0,2,1,1,"middle","rich"
"97746",101440,0,0.007368245,34,0,0.093490651,10000,8,0,0,0,1,"young","rich"
"79334",82333,0,0.114927571,46,0,0.348212143,4166,7,0,1,0,0,"middle","middle"
"65481",67951,0,0.325323475,55,1,0.315156485,7316,7,0,1,0,0,"middle","middle rich"
"83414",86577,0,0.106231501,30,0,1.058269066,3500,13,0,2,0,2,"young","poor"
"122912",127523,0,0.19047619,63,0,0.47164864,3050,14,0,1,0,0,"middle","poor"
"90019",93441,0,0.18883514,40,0,0.667460489,4618,13,0,1,0,3,"young","middle"
"14213",14769,0,0.60745237,47,1,0.607656669,4100,5,0,2,0,2,"middle","middle"
"131075",135979,0,0.070207791,62,0,0.804854831,2100,15,0,1,0,0,"middle","poor"
"84241",87438,0,0.237664111,65,0,0.132657823,15000,17,0,1,0,0,"middle","rich"
"65516",67988,0,0.024479977,42,0,0.307535642,5400,11,0,2,0,3,"young","middle"
"113990",118270,0,0.146687138,54,0,0.280573248,3139,6,0,1,0,1,"middle","poor"
"32142",33372,0,0.9999999,29,0,0.00768935,2600,0,0,0,0,1,"young","poor"
"141322",146619,0,0.005949851,48,0,0.206255608,7800,9,0,0,0,0,"middle","rich"
"34070",35378,0,0.058828063,76,1,257,5400,14,0,0,0,0,"elder","middle"
"31835",33056,0,0.017154897,53,0,0.004854369,9681,8,0,0,0,0,"middle","rich"
"16319",16941,0,0.088747359,47,0,0.072473554,8885,9,0,0,0,1,"middle","rich"
"46269",48030,0,0,27,0,0.679738562,764,4,0,0,0,0,"young","poor"
"21104",21916,0,0.03719876,40,0,0.110215054,2603,4,0,0,0,0,"young","poor"
"41398",42976,0,0.030391772,56,0,0.125,8303,2,0,1,0,1,"middle","rich"
"99964",103736,0,0.334309666,52,1,0.777712438,3400,8,0,2,0,0,"middle","poor"
"14543",15108,0,0.086170006,42,0,0.512279939,4600,19,0,2,0,2,"young","middle"
"73455",76235,0,0.063593383,58,0,0.303559525,7500,9,0,1,0,1,"middle","middle rich"
"116882",121272,0,0.02025347,58,0,0.011544012,9701,9,0,1,0,1,"middle","rich"
"3565",3704,0,0.641712292,39,1,0.31239213,8690,15,0,1,0,4,"young","rich"
"143962",149369,1,1.020238402,39,0,4208,5400,8,0,2,3,0,"young","middle"
"91674",95149,0,0.049801976,82,0,0.142107237,8000,10,0,1,0,1,"elder","rich"
"73898",76693,0,0.070796213,61,0,0.221950678,4500,9,0,1,0,2,"middle","middle"
"31557",32761,0,0.326739028,56,0,0.592256342,3744,11,0,2,0,0,"middle","poor"
"102032",105911,0,0.194570136,85,0,233,5400,7,0,0,0,0,"elder","middle"
"17143",17797,0,0.109950853,56,0,0.264997778,6750,10,0,1,0,0,"middle","middle rich"
"10437",10852,0,0.189145638,61,0,0.263445953,9500,21,0,2,0,0,"middle","rich"
"18180",18876,0,0.230378811,35,0,0.399952387,8400,7,0,2,0,3,"young","rich"
"72668",75427,0,0.051508046,66,0,0.1485701,4300,5,0,1,0,1,"middle","middle"
"87696",91003,0,0.614241083,69,0,0.671017914,7200,18,0,2,0,0,"middle","middle rich"
"138556",143737,0,0.589573913,63,0,2080,5400,6,0,0,0,0,"middle","middle"
"113489",117752,0,0.023294751,72,0,0.210151894,5200,7,0,1,0,0,"middle","middle"
"133553",138553,0,0.54559022,66,0,0.315244901,13433,30,0,2,0,1,"middle","rich"
"66585",69098,0,0.04603269,51,0,0.381924943,7833,10,0,1,0,0,"middle","rich"
"46195",47956,0,0.010038283,42,0,0.323417988,7126,12,0,2,0,0,"young","middle rich"
"60146",62433,0,0.974805039,33,3,0.012513928,11666,3,1,0,0,4,"young","rich"
"88158",91483,0,0,58,0,0.759727994,2646,8,0,2,0,0,"middle","poor"
"32527",33774,0,0.00355045,64,0,2471,5400,11,0,2,0,1,"middle","middle"
"25075",26040,0,0.275249413,80,0,5.057142857,69,5,0,0,0,0,"elder","poor"
"53164",55179,0,0.056540489,75,0,642,5400,5,0,1,0,0,"middle","middle"
"60905",63217,0,0.223796752,68,0,0.42037422,4809,13,0,1,0,0,"middle","middle"
"135751",140827,0,0,75,0,1110,5400,4,0,1,0,0,"middle","middle"
"58918",61153,0,0.9999999,59,0,1074,5400,2,0,1,0,0,"middle","middle"
"98772",102507,0,0.651068771,41,1,0.099146011,4800,5,0,0,0,1,"young","middle"
"68372",70946,0,0.699102084,40,0,0.459542431,13680,10,0,2,0,3,"young","rich"
"54510",56570,0,0.996944551,61,0,0.644351464,9320,14,0,3,0,1,"middle","rich"
"117223",121627,0,0.007576989,66,0,0.182703545,7700,10,0,1,0,0,"middle","rich"
"74116",76922,0,0.002998522,56,0,0.415922619,5375,8,0,2,0,0,"middle","middle"
"43034",44670,0,0.08798743,65,0,0.175949729,7001,5,0,2,0,0,"middle","middle rich"
"139221",144433,0,0.184213119,67,0,0.192970365,1450,9,0,0,0,1,"middle","poor"
"12125",12603,0,0.008624641,44,0,0.497200448,6250,13,1,2,0,0,"young","middle rich"
"118619",123073,0,0.036219581,50,0,0.792772011,2600,8,0,1,0,1,"middle","poor"
"101155",104993,0,0.198266158,45,0,1615,5400,12,0,2,0,0,"middle","middle"
"20605",21394,0,0.559369136,37,0,0.349334601,4207,17,0,0,0,0,"young","middle"
"97558",101246,0,0.028638093,67,0,1.117426608,1600,10,0,1,0,0,"middle","poor"
"65541",68013,0,0.018913745,55,0,350,0,5,0,0,0,1,"middle","poor"
"115814",120165,0,0.585131006,67,0,0.71273155,3400,13,0,2,0,1,"middle","poor"
"78712",81685,0,0.612046214,55,0,0.448691561,3400,9,0,1,0,0,"middle","poor"
"45261",46987,0,0.171835939,40,0,0.817151411,4675,6,0,2,0,0,"young","middle"
"97257",100932,0,0.234859675,71,1,0.302074276,8050,6,0,2,0,0,"middle","rich"
"103973",107915,1,1.014690879,61,0,0.690775227,2308,4,0,1,0,0,"middle","poor"
"73701",76490,0,0.871710911,64,0,1.229508197,2500,11,0,2,0,0,"middle","poor"
"105688",109682,0,0.067804477,68,0,0.324975174,8055,9,0,2,0,0,"middle","rich"
"104271",108219,1,0.302298445,52,2,2492,5400,16,2,1,1,0,"middle","middle"
"102165",106047,0,0.021448928,26,0,0.405797101,2000,9,0,0,0,0,"young","poor"
"89239",92622,0,0.066364928,43,0,0.424846129,6173,6,0,2,0,2,"young","middle rich"
"20015",20780,0,0.862068966,54,0,96,5400,4,0,0,0,1,"middle","middle"
"56804",58950,0,0.081401698,47,0,0.544743895,13431,13,0,2,0,2,"middle","rich"
"19629",20375,0,0.9999999,30,0,0.157921039,2000,1,0,0,0,1,"young","poor"
"133731",138735,0,0.098903613,59,0,1890,5400,10,0,1,0,0,"middle","middle"
"83145",86298,0,0.947026487,64,3,0.127774445,3333,9,0,0,1,0,"middle","poor"
"22751",23624,0,0.288493001,31,0,0.072705241,3300,3,0,0,0,0,"young","poor"
"135043",140087,0,0.860971301,43,0,0.31757169,9833,9,0,1,0,2,"young","rich"
"40139",41661,0,0.9999999,63,0,0.315698573,11000,5,0,2,0,2,"middle","rich"
"123979",128626,0,0.87111793,71,0,1.183526589,2500,13,0,2,0,0,"middle","poor"
"104375",108328,0,0.074797478,40,0,0.069474442,8333,10,0,0,0,0,"young","rich"
"75868",78745,0,0.046438142,69,0,1609,5400,4,0,1,0,1,"middle","middle"
"113044",117280,0,0.28248952,33,1,1462,5400,6,1,2,2,0,"young","middle"
"49405",51297,0,0.250943944,48,0,0.222246456,4584,7,0,1,0,0,"middle","middle"
"77122",80040,0,0.890142558,47,1,0.457394457,3860,9,0,1,0,2,"middle","middle"
"49752",51660,0,0,46,2,1.234213672,9200,22,0,9,0,2,"middle","rich"
"53940",55976,0,0,52,0,0.142197049,6708,6,0,1,0,1,"middle","middle rich"
"81386",84456,0,0.107683519,23,0,11,0,2,0,0,0,0,"young","poor"
"55032",57112,1,0.886940471,39,3,0.053733208,3200,5,0,0,0,3,"young","poor"
"83162",86316,0,0.332156078,33,0,0.069886023,3333,8,0,0,0,2,"young","poor"
"79548",82553,0,0.9999999,40,1,0.077490314,8000,8,0,0,0,2,"young","rich"
"54469",56528,0,0.664806247,31,0,0.391023339,2784,6,0,0,0,1,"young","poor"
"37627",39065,0,0.801228434,55,0,0.704541259,10833,17,0,2,0,1,"middle","rich"
"21235",22049,0,0.034425867,76,0,0.01199904,4166,4,0,0,0,1,"elder","middle"
"32103",33333,0,0.030168362,76,0,10,5400,4,0,0,0,0,"elder","middle"
"58936",61171,0,0.00799467,25,0,0,1583,4,0,0,0,0,"young","poor"
"44562",46258,0,0.9999999,25,0,0.03398867,3000,0,4,0,0,0,"young","poor"
"81915",85015,1,0,41,1,0.17487086,6581,9,0,1,1,0,"young","middle rich"
"120945",125472,0,0.032535903,80,0,3275,5400,4,0,1,0,0,"elder","middle"
"6962",7229,0,0.038550532,58,0,2042,5400,9,0,1,0,0,"middle","middle"
"110420",114567,0,0.371851259,38,1,0.412703583,3069,9,0,1,1,0,"young","poor"
"57725",59906,0,0.071682862,52,0,0.518410144,4100,28,0,3,0,2,"middle","middle"
"93821",97367,1,0.145238485,85,1,0.172199509,6114,20,0,2,0,0,"elder","middle rich"
"113577",117842,0,0.060599939,34,0,993,5400,3,0,1,0,0,"young","middle"
"48330",50170,0,0.066073015,66,0,0.499545592,3300,6,0,1,0,0,"middle","poor"
"107982",112039,0,0.019223326,81,0,1369,0,3,0,0,0,0,"elder","poor"
"115241",119564,0,0.002525784,54,0,0.174495378,5300,5,1,0,0,0,"middle","middle"
"117005",121401,0,0.986773187,50,2,0.221970404,7500,11,0,0,1,0,"middle","middle rich"
"51758",53739,0,0.056496757,49,0,0.517864476,2434,15,0,1,0,3,"middle","poor"
"322",333,0,0.033708851,41,0,0.408706353,6500,9,0,1,0,2,"young","middle rich"
"96655",100314,0,0.992867332,40,4,0.114364789,11200,5,2,1,0,1,"young","rich"
"121255",125802,0,0.548009131,59,0,0.748328326,10318,21,0,2,0,0,"middle","rich"
"49686",51592,0,0.035709184,80,0,0.002766252,2168,4,0,0,0,0,"elder","poor"
"114703",119007,0,0.005809894,55,0,0.068521381,3881,5,0,0,0,0,"middle","middle"
"47348",49159,0,0.023340284,40,2,0.312110062,6250,11,0,3,0,0,"young","middle rich"
"81541",84619,0,0.371789377,51,0,0.293756066,3090,14,0,1,0,0,"middle","poor"
"75312",78165,0,0.514842822,30,0,927,5400,18,0,0,0,0,"young","middle"
"1584",1644,0,0.010893096,71,0,0.194158076,4073,8,1,0,0,0,"middle","middle"
"12810",13313,0,0.013825421,52,0,0.363116966,6300,11,0,1,0,0,"middle","middle rich"
"74099",76904,0,0.057165155,49,0,0.589965398,5201,8,0,2,0,0,"middle","middle"
"23759",24675,0,0.371750097,61,4,0.464896605,11750,21,0,3,0,0,"middle","rich"
"92623",96130,0,0.936877076,22,0,2.746268657,200,2,0,0,0,0,"young","poor"
"130651",135541,0,0.163239798,37,0,0.594751559,4648,7,0,2,0,1,"young","middle"
"83161",86315,0,0,48,0,0.081337894,2630,3,0,0,0,1,"middle","poor"
"131955",136892,0,0.043906326,51,0,5341,5400,14,0,2,0,0,"middle","middle"
"39343",40842,0,0.759928309,37,0,0.22087585,4703,6,0,0,0,2,"young","middle"
"13175",13690,0,0.186991382,69,0,271,0,8,0,0,0,0,"middle","poor"
"41887",43482,0,0.041297935,73,0,2801,5400,4,0,2,0,0,"middle","middle"
"69835",72467,1,0.320457562,45,0,0.294380375,15000,27,0,3,0,3,"middle","rich"
"45700",47443,0,0.097295544,47,0,0.244484583,7750,6,0,1,0,3,"middle","rich"
"143796",149195,0,0.025681736,62,0,0.309205521,9200,14,0,2,0,0,"middle","rich"
"122170",126749,0,0.26514641,47,0,0.272793141,8280,8,0,1,0,4,"middle","rich"
"130785",135682,0,0.037854752,54,0,0.845064556,2400,5,0,1,0,1,"middle","poor"
"78800",81777,0,0.028268432,42,0,0.115731116,10100,10,0,0,1,0,"young","rich"
"109440",113551,0,0.650074058,44,1,5790,5400,13,0,3,0,0,"young","middle"
"34388",35707,0,0.078343724,38,0,0.270865253,12400,6,0,2,0,2,"young","rich"
"15868",16474,0,0.130056015,59,0,1858,5400,24,0,1,0,0,"middle","middle"
"4604",4788,0,0.153820893,30,0,0.109485491,4100,6,0,0,0,3,"young","middle"
"116565",120941,0,0.759384423,62,0,0.561128527,5103,13,0,1,0,0,"middle","middle"
"142379",147713,0,0.047897899,75,0,0.228074193,4366,17,0,2,0,1,"middle","middle"
"47210",49015,0,0.178220626,45,1,0.631179411,5400,19,0,1,0,1,"middle","middle"
"120821",125346,0,0.128632169,59,0,0.049662528,12000,11,0,0,0,2,"middle","rich"
"130306",135178,0,0.210385974,49,0,0.202885482,11089,7,0,1,0,1,"middle","rich"
"74776",77612,0,0.004354015,55,0,0.239530862,13300,16,0,2,0,1,"middle","rich"
"77033",79950,0,0,55,0,0.105309931,4500,7,0,0,0,1,"middle","middle"
"29459",30584,0,0.002140767,66,0,0.010830325,3600,24,0,0,0,0,"middle","poor"
"3284",3413,0,0.510128913,36,0,0.616966581,3500,4,0,1,0,1,"young","poor"
"116793",121177,0,0.394501991,60,0,0.66297827,7500,6,0,1,0,1,"middle","middle rich"
"29048",30151,0,0,46,0,0.259283674,4550,6,0,1,0,1,"middle","middle"
"67480",70021,0,0.069663325,72,0,0.77071559,11500,26,0,5,0,1,"middle","rich"
"28871",29971,0,0,61,0,0.13486921,8333,3,0,0,0,0,"middle","rich"
"34900",36235,0,0.002938875,65,0,4,5400,6,0,0,0,0,"middle","middle"
"64266",66698,0,0.001664893,53,0,0.000544144,7350,7,0,0,0,1,"middle","middle rich"
"16320",16942,0,0.981455064,26,0,0.19575177,2400,3,4,0,0,1,"young","poor"
"20802",21598,0,0.9999999,45,0,0.192491719,2716,3,0,0,0,2,"middle","poor"
"61834",64178,0,0.044415116,34,0,0.13167205,6500,8,0,0,0,0,"young","middle rich"
"83665",86838,0,0.044552985,49,0,1362,5400,14,0,1,0,0,"middle","middle"
"130995",135898,1,0.54965865,39,0,0.545828716,6316,22,0,2,0,1,"young","middle rich"
"124651",129323,0,0.598074228,45,0,0.113969391,6141,7,0,0,0,0,"middle","middle rich"
"104359",108312,0,0.000672258,49,0,0.671832042,4000,10,0,2,0,1,"middle","middle"
"74096",76901,0,0.235751818,60,0,3029,5400,11,0,2,0,2,"middle","middle"
"121571",126130,0,0.064160144,52,0,0.265683922,5833,11,0,1,0,1,"middle","middle rich"
"144014",149424,0,0.274509152,49,0,0.111610352,5563,8,1,0,0,4,"middle","middle rich"
"60516",62812,0,0.90371277,29,1,0.172413793,2000,7,1,0,0,0,"young","poor"
"53387",55407,0,0.024662187,61,0,0.027993002,4000,8,0,0,0,0,"middle","middle"
"104077",108020,0,0.640233033,49,1,0.330320751,11285,12,0,2,0,1,"middle","rich"
"139165",144374,0,0.044919662,49,1,838,5400,9,0,1,0,3,"middle","middle"
"97966",101671,0,0,36,0,0,3200,5,0,0,0,2,"young","poor"
"67675",70225,0,0.9999999,31,0,0.14012284,7000,3,0,0,0,0,"young","middle rich"
"27659",28722,0,0.054857177,91,0,0.013623297,8000,5,0,0,0,1,"elder","rich"
"43817",45478,0,0.341420015,61,0,0.290639545,5800,9,0,2,0,0,"middle","middle rich"
"79284",82281,0,1.177217137,44,0,0.078505314,5833,6,0,0,0,0,"young","middle rich"
"15565",16154,0,0.061602679,30,0,0.785564854,1911,5,0,1,1,0,"young","poor"
"100339",104125,0,0.127671007,51,0,0.551238804,8596,25,0,4,0,1,"middle","rich"
"27145",28186,0,0.960158425,58,0,2734,5400,13,1,2,0,0,"middle","middle"
"127070",131830,0,0.971189441,48,0,0.07052393,7500,4,0,0,0,0,"middle","middle rich"
"48652",50512,0,0.084661023,84,0,0.658936425,2500,8,0,1,0,0,"elder","poor"
"105745",109744,0,0.771856321,45,0,0.430701457,2950,8,0,1,0,1,"middle","poor"
"27652",28715,1,0.359614193,52,2,0.750296209,3375,12,0,2,1,2,"middle","poor"
"80456",83495,0,0.000260865,60,0,997,5400,6,0,1,0,0,"middle","middle"
"105668",109662,0,0.012927162,62,0,0.090279781,10400,7,0,2,0,0,"middle","rich"
"80635",83679,0,0.257492981,37,0,1569,5400,11,0,0,0,3,"young","middle"
"138414",143593,0,0.176499646,46,0,0.187513886,4500,9,0,0,0,1,"middle","middle"
"122706",127309,0,0.125387673,92,4,2925,5400,30,0,2,0,0,"elder","middle"
"94667",98248,0,0.000999967,63,0,0.219889248,4333,6,0,1,0,1,"middle","middle"
"69481",72097,0,0.15879481,60,0,0.349410841,6364,8,0,2,0,2,"middle","middle rich"
"70273",72925,0,0.12517173,44,0,0.443837078,15000,6,0,2,0,1,"young","rich"
"59789",62066,0,0.051789642,89,0,7,5400,2,0,0,0,0,"elder","middle"
"95365",98972,0,0.633958545,61,0,0.449662321,6366,8,0,2,0,3,"middle","middle rich"
"51678",53658,0,0.9999999,32,0,0,0,0,0,0,0,0,"young","poor"
"88192",91517,0,0.9999999,84,0,0.223194748,2284,4,0,0,0,0,"elder","poor"
"142968",148322,0,0.300963746,46,0,0.309476286,10520,14,0,2,0,3,"middle","rich"
"116123",120488,0,0.003277832,42,0,0.833615723,2950,7,0,2,0,3,"young","poor"
"119062",123527,0,0.439206316,52,0,0.278977759,9351,16,0,1,0,2,"middle","rich"
"118973",123437,0,0.233025426,32,0,1196,5400,5,0,1,0,0,"young","middle"
"112334",116548,0,0.504269809,31,0,0.618074478,2201,7,0,1,0,0,"young","poor"
"69155",71755,0,0.000354471,79,0,0,1267,4,0,0,0,1,"elder","poor"
"105253",109236,0,0.043978694,47,0,0.967221135,2043,5,0,1,0,0,"middle","poor"
"47414",49225,0,0.07114997,75,0,87,5400,5,0,0,0,1,"middle","middle"
"119628",124114,0,0.057929097,37,0,0.541393916,2596,5,0,1,0,3,"young","poor"
"9205",9563,0,0.62915322,67,3,0.295582863,3010,7,2,0,0,1,"middle","poor"
"132926",137900,0,0.061894076,62,0,0.564833872,3400,9,0,1,0,0,"middle","poor"
"35074",36413,0,0.033626627,67,0,555,5400,9,0,0,0,0,"middle","middle"
"137000",142123,0,0,54,0,7016,5400,16,0,5,0,0,"middle","middle"
"115710",120056,0,1.005960551,53,4,0.470822126,8550,8,0,1,0,0,"middle","rich"
"36863",38268,0,0,63,0,0.154747167,10500,17,0,2,0,0,"middle","rich"
"10193",10595,1,0.63189077,41,2,0.16356173,9500,9,0,0,0,2,"young","rich"
"140727",145998,0,0.136658333,57,0,0.620403514,6145,9,0,2,0,0,"middle","middle rich"
"39614",41119,0,0.210528675,33,0,1.549207998,3850,7,0,4,0,0,"young","middle"
"60656",62956,0,0.340698399,44,2,0.190989776,8900,12,0,1,0,4,"young","rich"
"590",615,0,0,52,0,0.444444444,3500,5,0,2,0,1,"middle","poor"
"66871",69391,1,0.9999999,36,0,0.530979347,1500,1,4,0,0,1,"young","poor"
"103560",107486,0,0.077178618,70,0,0.078348581,8525,6,0,2,0,0,"middle","rich"
"32985",34246,0,0.158841063,55,1,0.296126614,2400,5,0,0,0,3,"middle","poor"
"12282",12770,0,0.352691563,59,0,0.958510372,4000,13,0,2,0,0,"middle","middle"
"48442",50288,0,0.013472229,38,0,23,5400,9,0,0,0,0,"young","middle"
"8135",8449,0,0.008253571,74,0,0.371451419,2500,20,0,0,0,0,"middle","poor"
"774",804,0,0.067400749,26,0,0.166517857,4479,10,0,0,0,0,"young","middle"
"27353",28404,1,0.647653676,54,0,0.262126988,7606,10,0,1,0,4,"middle","rich"
"16287",16908,0,0.214778458,37,0,0.425913694,9083,15,0,2,0,3,"young","rich"
"137235",142366,0,0.52937284,30,0,0.537881385,2916,7,0,1,0,0,"young","poor"
"845",879,0,0.452864285,49,0,0.330947228,6006,10,0,1,0,1,"middle","middle rich"
"79022",82012,0,0.016236651,35,0,0.400656814,7916,10,0,2,1,1,"young","rich"
"92914",96432,0,0.433437771,49,0,0.331364357,6940,7,0,2,0,2,"middle","middle rich"
"137600",142744,0,0.112870297,54,0,0.446243695,11300,5,0,2,0,3,"middle","rich"
"38329",39784,0,0.029138079,75,0,0.008264463,3750,7,0,0,0,0,"middle","poor"
"24283",25218,0,0.313843078,24,0,0.089552239,200,1,0,0,0,0,"young","poor"
"110704",114864,1,0.060209184,62,0,0.109438776,7839,13,0,1,0,3,"middle","rich"
"127645",132425,0,0.056564781,64,0,0.642042113,8500,6,0,2,0,1,"middle","rich"
"77759",80700,0,0.01600296,68,0,959,5400,8,0,1,0,0,"middle","middle"
"78109",81060,0,0,33,0,0.549556036,4166,7,0,2,0,0,"young","middle"
"99541",103301,0,0.248262178,73,0,0.852229554,5000,19,0,2,0,1,"middle","middle"
"31656",32864,0,0.255367748,61,0,0.078511719,6100,4,0,0,0,1,"middle","middle rich"
"82115",85222,0,0.313289821,54,0,0.009570061,7000,3,0,0,0,0,"middle","middle rich"
"125967",130682,0,0.9999999,68,0,0.391921616,5000,2,0,1,0,0,"middle","middle"
"109824",113945,0,0.146963902,78,0,0.31928012,6000,18,0,2,0,0,"elder","middle rich"
"138446",143625,0,0.136766601,54,1,0.728791014,6765,11,0,2,0,2,"middle","middle rich"
"22643",23511,0,0.053286181,60,0,0.401376147,5667,11,0,2,0,1,"middle","middle rich"
"33350",34627,0,0.571685663,54,0,0.012939654,8500,2,0,0,0,1,"middle","rich"
"125431",130130,0,0.348448097,46,0,0.288579387,1794,10,0,0,0,2,"middle","poor"
"39842",41357,0,0.014136956,77,0,0.204205161,3138,4,1,0,0,0,"elder","poor"
"37427",38856,0,0.96119687,26,1,278,5400,4,1,0,1,0,"young","middle"
"71981",74712,0,0,61,0,5957,5400,9,0,4,0,0,"middle","middle"
"68433",71009,0,0.036522515,54,0,0.006256058,11348,2,1,0,0,1,"middle","rich"
"96050",99688,0,0.370525895,39,0,0.167932827,2500,3,0,0,0,0,"young","poor"
"98895",102635,0,0,39,0,0.397334444,2400,5,0,0,0,3,"young","poor"
"66176",68677,0,0.13291791,39,0,0.200535136,7100,22,0,0,0,2,"young","middle rich"
"80231",83262,0,0.213378662,82,0,0.159600998,400,3,0,0,0,0,"elder","poor"
"80144",83172,0,0.05767175,69,0,0.329326464,5240,13,0,2,0,1,"middle","middle"
"17756",18436,0,0.003908431,33,0,0.423441833,6850,8,0,3,0,0,"young","middle rich"
"105297",109283,0,0.128953411,34,0,0.291339794,6500,7,0,2,0,0,"young","middle rich"
"39069",40558,0,0.432891458,51,0,0.363667553,11658,17,0,2,0,2,"middle","rich"
"77572",80505,0,0.11174746,54,0,0.11705106,7500,4,0,0,0,1,"middle","middle rich"
"67756",70312,0,0.56725862,49,0,0.451016186,8216,12,0,3,0,3,"middle","rich"
"13845",14382,0,0.881071894,61,1,0.408118657,6404,16,0,1,0,0,"middle","middle rich"
"98076",101783,0,0,44,0,0.016664683,8400,1,0,0,0,0,"young","rich"
"23168",24060,0,0.326997203,58,0,0.35588843,7743,19,0,1,0,0,"middle","rich"
"56289",58422,0,0.009523356,75,0,0.001638002,3662,1,0,0,0,0,"middle","poor"
"87238",90532,0,0.291967701,56,0,0.31280468,6153,13,0,2,0,0,"middle","middle rich"
"42112",43709,0,0.034518619,54,0,0.072971351,13333,2,0,1,0,4,"middle","rich"
"7164",7441,0,0.874225155,56,0,1710,5400,7,0,0,0,3,"middle","middle"
"136661",141771,0,0.024418482,45,0,1.004188482,4774,7,0,2,0,1,"middle","middle"
"77619",80552,0,0.278165675,43,0,3989,5400,11,0,2,0,0,"young","middle"
"129502",134351,0,0.341083606,47,1,0.172850478,4500,8,1,0,0,3,"middle","middle"
"107118",111152,0,0.346326939,73,2,2021,5400,15,0,1,0,0,"middle","middle"
"136517",141623,0,0.870666554,54,3,0.476491569,6167,13,0,1,1,1,"middle","middle rich"
"128725",133544,0,0.019272639,40,1,0.14983165,2375,8,0,0,0,0,"young","poor"
"48749",50612,0,0.094411286,38,0,0.424780803,4333,6,0,1,0,2,"young","middle"
"127862",132649,0,0.021827488,41,0,0.333263903,4800,7,0,1,0,2,"young","middle"
"137992",143153,0,0.699847829,50,0,0.365784499,11637,9,0,1,0,0,"middle","rich"
"28020",29098,0,0.500989077,42,1,0.426902431,9500,14,0,1,0,2,"young","rich"
"66571",69084,0,0.009116183,79,0,0.007596961,2500,8,0,0,0,0,"elder","poor"
"85789",89031,0,0.049148682,56,0,516,5400,7,0,1,0,0,"middle","middle"
"92654",96164,0,0.188447931,43,0,0.394424185,8500,15,0,2,0,0,"young","rich"
"136174",141267,0,0.537333242,67,0,0.658417698,8000,15,0,3,0,2,"middle","rich"
"61568",63905,0,0.0124531,79,1,0.224555089,5000,20,0,1,0,0,"elder","middle"
"3302",3432,0,0.9999999,75,0,2319,5400,9,0,1,0,0,"middle","middle"
"99294",103045,0,0.120671189,42,0,0.564730219,5800,9,0,2,0,0,"young","middle rich"
"50117",52041,0,0.833598288,61,0,0.634780435,12000,12,0,2,0,0,"middle","rich"
"2472",2570,0,0.309359655,48,0,0.27257345,6500,8,0,0,0,2,"middle","middle rich"
"126284",131008,0,1.03449655,54,0,0.276605199,4500,4,1,0,0,0,"middle","middle"
"12524",13022,0,0.341732888,33,0,0.717283706,5050,14,0,5,0,1,"young","middle"
"106796",110822,0,0.12375505,37,0,0.341745966,7250,5,0,2,0,1,"young","middle rich"
"88320",91652,0,0.061350881,36,0,0.003110765,9000,2,0,0,0,0,"young","rich"
"73932",76730,0,0.026376173,58,0,0.141497776,16183,9,0,2,0,2,"middle","rich"
"89791",93204,0,0.051625506,51,0,1217,5400,4,0,2,0,0,"middle","middle"
"137538",142679,0,0.218520986,23,0,0.010011123,898,3,0,0,0,0,"young","poor"
"98435",102155,0,0.027519943,75,0,0.014693651,3606,7,0,0,0,0,"middle","poor"
